epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2204,1.17447,3.91709,1.06348,0.00361,0.66667,0.05962,0.0372,1.10531,4.07709,0.95684,0.0003,0.0003,0.0003
2,35.9465,1.05589,2.24696,0.94936,0.00375,0.69231,0.09254,0.06735,0.88779,3.94251,0.93076,0.000607724,0.000607724,0.000607724
3,52.1811,1.08015,1.86051,0.94524,0.00361,0.66667,0.29604,0.1983,1.138,3.58098,1.00996,0.000902776,0.000902776,0.000902776
4,69.1583,1.04623,1.64723,0.96446,0.00333,0.61538,0.07305,0.05914,1.04131,3.49355,1.00754,0.00118516,0.00118516,0.00118516
5,84.5105,0.99809,1.48038,0.96392,0.94022,0.40358,0.57784,0.45246,1.08936,2.91302,1.05174,0.00145486,0.00145486,0.00145486
6,98.986,0.97412,1.44339,0.96823,0.3488,0.30769,0.20844,0.16067,1.12057,2.83201,1.07959,0.0017119,0.0017119,0.0017119
7,115.033,1.04601,1.38745,0.97777,1,0.48554,0.56713,0.45031,1.09062,2.09913,1.1732,0.0017624,0.0017624,0.0017624
8,130.62,0.93801,1.19376,0.93102,0.95961,0.60944,0.67114,0.50566,1.09034,1.72892,1.17648,0.0017228,0.0017228,0.0017228
9,147.945,0.99009,1.18134,0.99989,0.92374,0.62138,0.64311,0.52182,0.9934,1.62797,1.05829,0.0016832,0.0016832,0.0016832
10,167.557,0.94728,1.07532,0.96135,0.64122,0.51282,0.46545,0.36137,1.07171,1.62067,1.09313,0.0016436,0.0016436,0.0016436
11,184.45,0.90749,1.01431,0.9212,0.9599,0.6138,0.6699,0.51184,0.98521,1.28248,1.07743,0.001604,0.001604,0.001604
12,199.572,0.94362,1.02347,0.9602,0.92436,0.64103,0.65176,0.51014,0.98494,1.18595,1.11654,0.0015644,0.0015644,0.0015644
