epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6036,1.23802,3.58763,1.07653,0.00375,0.69231,0.037,0.0239,0.98802,3.98039,0.98221,0.00062,0.00062,0.00062
2,31.0945,1.10173,2.04378,0.95121,0.47792,0.16477,0.20423,0.13604,1.23702,3.38342,1.10062,0.00123505,0.00123505,0.00123505
3,46.2665,1.1319,1.87663,0.96361,0.9503,0.49039,0.61562,0.45994,1.15852,2.7592,1.04886,0.00182476,0.00182476,0.00182476
4,66.0783,1.23263,1.83341,0.98485,0.92222,0.60824,0.6293,0.40942,1.18825,2.31634,0.9951,0.0018812,0.0018812,0.0018812
5,87.8478,1.15075,1.62755,0.99416,0.90565,0.5641,0.6038,0.43667,1.15989,2.03691,1.1444,0.0018416,0.0018416,0.0018416
6,106.249,1.09098,1.43209,0.98618,0.95451,0.53809,0.58189,0.45572,1.05807,2.19619,1.01124,0.001802,0.001802,0.001802
7,123.872,1.01632,1.32774,0.97973,0.95545,0.5641,0.61217,0.47244,1.04345,1.64838,1.04663,0.0017624,0.0017624,0.0017624
8,141.52,1.06117,1.26457,0.99596,0.92507,0.63335,0.64366,0.49612,1.05435,1.41104,1.04984,0.0017228,0.0017228,0.0017228
9,159.736,0.94501,1.09094,0.95034,0.90206,0.64103,0.64218,0.48961,0.88462,1.25596,0.99273,0.0016832,0.0016832,0.0016832
10,177.156,0.96854,1.06743,0.95748,0.94613,0.64103,0.65796,0.47539,0.99899,1.44516,1.00114,0.0016436,0.0016436,0.0016436
11,194.716,0.88191,0.92203,0.92185,0.96112,0.63409,0.67893,0.49208,0.96141,1.15041,1.03242,0.001604,0.001604,0.001604
12,212.339,0.99708,1.06818,0.96521,0.95248,0.66667,0.67493,0.50444,0.96158,1.08737,1.03912,0.0015644,0.0015644,0.0015644
13,229.212,0.94246,0.99975,0.93201,0.96122,0.63566,0.65118,0.49354,1.00758,1.08366,0.99194,0.0015248,0.0015248,0.0015248
14,247.795,0.91178,0.91911,0.94314,0.9628,0.66381,0.6616,0.52598,0.93178,1.00946,0.98862,0.0014852,0.0014852,0.0014852
15,265.619,0.85271,0.86639,0.90837,0.95906,0.66667,0.66281,0.53156,0.92943,0.99026,0.99668,0.0014456,0.0014456,0.0014456
16,285.726,0.87527,0.87133,0.91565,0.90615,0.64103,0.67851,0.55812,0.88545,1.05067,1.03666,0.001406,0.001406,0.001406
17,302.957,0.87519,0.8373,0.90684,0.89606,0.69231,0.68924,0.51721,0.98273,0.9965,1.10033,0.0013664,0.0013664,0.0013664
18,321.762,0.85629,0.79362,0.91746,0.87011,0.6872,0.68229,0.53342,0.88494,0.92083,1.00474,0.0013268,0.0013268,0.0013268
19,338.551,0.87199,0.85665,0.92323,0.89541,0.71795,0.72675,0.53777,0.96129,0.95715,1.01298,0.0012872,0.0012872,0.0012872
20,356.551,0.84644,0.78535,0.9096,0.87144,0.69534,0.71187,0.55664,0.91126,0.91792,0.98756,0.0012476,0.0012476,0.0012476
21,375.335,0.76646,0.72504,0.90408,0.92051,0.66667,0.70737,0.55874,0.89811,0.89031,0.99547,0.001208,0.001208,0.001208
22,392.302,0.80206,0.74412,0.91754,0.8713,0.71795,0.69921,0.52396,0.86492,0.90603,1.02084,0.0011684,0.0011684,0.0011684
23,409.988,0.73972,0.65676,0.87688,0.89929,0.68706,0.69901,0.54183,0.8655,0.81531,1.00033,0.0011288,0.0011288,0.0011288
24,427.162,0.80584,0.7735,0.92429,0.90238,0.71121,0.69653,0.54092,0.93655,0.8607,1.03166,0.0010892,0.0010892,0.0010892
25,445.256,0.78726,0.69381,0.90353,0.92754,0.71795,0.70597,0.54382,0.84531,0.76395,0.98929,0.0010496,0.0010496,0.0010496
